names,scores,logfoldchanges,pvals,pvals_adj
CCDC66,33.755527,0.48317733,8.869388062975802e-250,4.255537446398162e-248
CALB2,33.743042,5.7699566,1.3523618874062119e-249,6.479410112605409e-248
DLEU2,33.584576,0.38440514,2.8177003667354623e-247,1.3461813298210474e-245
OSBPL3,33.553738,0.6658124,7.940934040317637e-247,3.783119382545667e-245
AC012459.1,33.49618,1.4670874,5.477894017288703e-246,2.598682060427015e-244
BRD8,33.453686,0.6164713,2.2748603512881284e-245,1.0761495274169486e-243
CMTM7,33.44363,0.60640734,3.1855965280987886e-245,1.5048704384210856e-243
TCF25,33.438805,0.33749625,3.743641163314469e-245,1.766012908441988e-243
SPATA1,33.369934,1.0229132,3.7438363558805064e-244,1.7611717337816652e-242
FBXW7,33.3253,0.35415882,1.660919315386762e-243,7.78067932974366e-242
MORC4,33.271408,1.0264853,1.0008459742573545e-242,4.669043504838811e-241
GNLY,33.191235,1.3037329,1.4404636844753974e-241,6.692096251103494e-240
GRIP1,33.18891,0.44893092,1.5560300185035706e-241,7.219036237360504e-240
AC011933.4,33.109653,1.4347987,2.1583743025546688e-240,9.97234063904614e-239
RB1,33.082535,0.35061648,5.299913687465152e-240,2.44202042163066e-238
AC097716.1,33.04935,2.9193127,1.589353317387091e-239,7.313196507681968e-238
ASPN,33.04421,1.7816521,1.8840101594679395e-239,8.657193750504657e-238
ADAM28,33.040184,0.6547693,2.152209788983772e-239,9.876121268739974e-238
RORA-AS1,33.025276,0.78453386,3.523490597233107e-239,1.6146695278368098e-237
OFD1,33.001945,0.5064913,7.616982325067166e-239,3.485804329795004e-237
SYK,32.939415,0.7720325,5.997257877384689e-238,2.733418671530056e-236
ARHGEF3,32.93321,0.40049788,7.359293195934533e-238,3.349671803046851e-236
CACNB2,32.905678,0.45883936,1.8230563167583806e-237,8.286664353718728e-236
AC104532.2,32.865284,1.8708305,6.889865519353625e-237,3.1191458390170537e-235
PUM3,32.83376,0.38313708,1.9427233523884989e-236,8.771421977902068e-235
LRRN3,32.832394,2.3050017,2.031665527987763e-236,9.160717311068788e-235
EYA2,32.794014,0.506715,7.166374695807043e-236,3.2183711000556375e-234
BRIP1,32.74348,1.1901088,3.759366853491963e-235,1.6815802703760464e-233
AC025627.1,32.72842,1.8895073,6.158483866419876e-235,2.7510617186837437e-233
PDLIM5,32.681892,0.45697588,2.8243499263990713e-234,1.2583300822880094e-232
ATAD2,32.63169,0.9063234,1.4574674028253543e-233,6.484863548476035e-232
POLE2,32.62214,0.9454709,1.9910288858739468e-233,8.847207774934865e-232
GPS2,32.566135,0.8419334,1.2375380388538957e-232,5.491799239087867e-231
PPA1,32.536736,0.50842816,3.2253154494986905e-232,1.4294088811844065e-230
